2019-12-21 13:21:55   [360DrvMgr] TID:21264	

GetGlobalInfo::Init
2019-12-21 13:21:55   [360DrvMgr] TID:21264	Os version: 10.0, pf: 64
2019-12-21 13:21:55   [360DrvMgr] TID:21264	DownloadMgr::Init
2019-12-21 13:21:55   [360DrvMgr] TID:21264	


2019-12-21 13:21:55   [360DrvMgr] TID:9752	User Start Scan
2019-12-21 13:21:55   [360DrvMgr] TID:9752	Exam AllDrivers Begin
2019-12-21 13:21:55   [360DrvMgr] TID:21264	SetReloadConfig bReload:1
2019-12-21 13:21:55   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: mainboard, class: System, hid: PCI\VEN_1022&DEV_1200&SUBSYS_00000000&REV_00, cid: PCI\VEN_1022&CC_060000, problem: 0x00000000, deviceDesc:"Стандартный главный мост PCI — ЦП", inf: C:\Windows\inf\machine.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.771
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: others, class: Volume, hid: STORAGE\Volume, cid: , problem: 0x00000000, deviceDesc:"Том", inf: C:\Windows\inf\volume.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.1
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: mainboard, class: System, hid: ACPI\VEN_PNP&DEV_0100, cid: , problem: 0x00000000, deviceDesc:"Системный таймер", inf: C:\Windows\inf\machine.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.771
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: others, class: AudioEndpoint, hid: MMDEVAPI\AudioEndpoints, cid: GenericAudioEndpoint, problem: 0x00000000, deviceDesc:"Конечная точка Audio", inf: C:\Windows\inf\audioendpoint.inf, driverDate: 9-14-2018, driverVersion: 10.0.17763.1
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: others, class: Battery, hid: ACPI\VEN_PNP&DEV_0C0A, cid: , problem: 0x00000000, deviceDesc:"Батарея с ACPI-совместимым управлением (Майкрософт)", inf: C:\Windows\inf\cmbatt.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.1
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: others, class: PrintQueue, hid: PRINTENUM\LocalPrintQueue, cid: SWD\GenericRaw, problem: 0x00000000, deviceDesc:"Локальная очередь печати", inf: C:\Windows\inf\printqueue.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.1
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: keyboard, class: Keyboard, hid: ACPI\VEN_PNP&DEV_0303, cid: , problem: 0x00000000, deviceDesc:"Стандартная клавиатура PS/2", inf: C:\Windows\inf\keyboard.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.348
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: mainboard, class: System, hid: ROOT\VOLMGR, cid: DETECTEDInternal\volmgr, problem: 0x00000000, deviceDesc:"Диспетчер томов", inf: C:\Windows\inf\volmgr.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.168
